TInt mapData[] =                
{
1,1,21,22,1,1,   
1,1,21,22,1,1,
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,1, 
1,1,21,22,1,6, 
4,1,21,22,1,1,  
1,1,21,22,1,6,     
1,1,21,22,1,1,
1,1,21,19,1,1, 
4, 1, 21,22, 3, 1,
53,55,10,28,43,44,
51,52,10,27,12,12,
49,49,10,16,53,55,
53,55,21,19,50,57,
50,57,10,16,49,48,
48,49,10,16,48,49,
47,47,10,16,47,47,
45,46,26,16,68,69,
12,12,25,16,70,71,
79,78,21,19,70,71,
76,77,10,16,66,67,
68,69,29,30,64,65,
66,67,10,16,50,57,
64,65,10,16,50,57,
53,55,31,37,47,47,
50,57,10,28,43,44,
47,47,10,27,12,12,
45,46,26,16,75,74,
12,12,25,16,72,73,
53,55,29,30,53,55,
50,57,10,16,50,57,
47,47,10,16,47,47,
75,74,10,28,17,17,
53,55,78,68,10,27,
50,57,77,66,10,16, 
49,68,69,53,59,55,
48,66,67,53,55,56,
47,64,65,50,57,68,
55,62,63,48,49,66,
52,38,24,75,74,64,
49,10,16,68,69,53,
68,10,22,66,53,59,
66,10,19,53,59,60,
55,10,16,50,58,58,
57,10,16,49,48,49,
47,10,16,47,47,47,
46,26,28,45,75,74,
12,12,25,16,72,74,
45,46,26,16,72,74,
12,12,25,16,72,73,
53,55,29,30,53,55,
50,57,10,16,50,57,
47,47,10,16,47,47,
3,1,10,23,17,20,
78,68,10,27,11,11,
77,66,10,16,69,79,
69,53,59,55,67,76,
67,53,55,56,75,4,
65,50,57,68,69,53,
63,48,49,66,67,50,
24,75,74,64,65,49,
16,68,69,53,59,55,
22,66,53,59,59,55,
19,53,59,60,61,55,
16,50,58,58,58,57,
16,49,49,48,49,48,
16,49,48,49,48,49,
16,47,47,47,47,47,
28,17,20,17,20,17,
12,12,25,27,75,74,
45,46,26,16,68,69,
12,12,25,16,70,71,
79,78,21,19,70,71,
76,77,10,16,66,67,
68,69,29,30,64,65,
66,67,10,16,53,55,
64,65,10,16,50,57,
53,55,31,37,47,47,
50,57,10,28,43,44,
47,47,10,27,12,12,
45,46,26,16,75,74,
12,12,25,16,72,73,
53,55,29,30,53,55,
50,57,10,16,50,57,
47,47,10,16,47,47,
45,46,26,28,17,20,
11,11,25,27,11,11,
17,20,26,28,43,44,
11,11,25,27,11,11,
45,46,26,16,68,69,
12,12,25,16,70,71,
79,78,21,19,70,71,
76,77,10,16,66,67,
